BusinessName,DBAName,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Location
# 7 RESTAURANT,,Active,FT,Eating & Drinking w/ Take Out,03/23/2007 03:20:59 PM,+10000000000,"(42.261873, -71.15741)"
20TH CENTRY BOWLING LANES,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:04 PM,+13392372645,"(42.25682, -71.12411)"
21 ST. AMENDMENT,,Active,FS,Eating & Drinking,12/07/2006 01:34:35 PM,+16172277100,"(42.358336, -71.062581)"
224 BOSTON STREET,,Active,FS,Eating & Drinking,12/07/2006 01:35:12 PM,+16175136545,"(42.322272, -71.060848)"
49 Social,,Active,FS,Eating & Drinking,03/21/2011 01:03:16 PM,+16173389600,"(42.35493, -71.061809)"
5 Napkin Burger,,Active,FS,Eating & Drinking,11/05/2010 11:35:09 AM,+16173752277,"(42.346865, -71.080632)"
7 Pond Coffee Bar,,Active,FT,Eating & Drinking w/ Take Out,08/15/2013 08:59:40 AM,+10000000000,"(42.3149, -71.11427)"
73 Cafe,,Active,FS,Eating & Drinking,06/25/2010 10:28:32 AM,+16172234408,"(42.35788, -71.06082)"
75 CHESTNUT,,Active,FS,Eating & Drinking,12/07/2006 01:34:54 PM,+16172272175,"(42.356898, -71.070971)"
99 RESTAURANT AND PUB,,Active,FS,Eating & Drinking,12/07/2006 01:34:27 PM,+16152568500,"(42.374884, -71.067065)"
A & N PIZZA,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:14 PM,+16173232211,"(42.29413, -71.13674)"
A @ Time,,Active,FT,Eating & Drinking w/ Take Out,11/19/2012 01:13:38 PM,+10000000000,"(42.355123, -71.134062)"
A K's Take Out,,Active,FT,Eating & Drinking w/ Take Out,01/10/2008 11:12:29 AM,+16175923969,"(42.339955, -71.049226)"
A K's Take Out & Delivery,,Active,FT,Eating & Drinking w/ Take Out,10/31/2007 03:33:00 PM,+16175410300,"(42.331858, -71.096333)"
Abbott's Frozen Custard,,Active,FT,Eating & Drinking w/ Take Out,12/02/2010 10:46:36 AM,+15087350970,"(42.348955, -71.153641)"
Abby Lane,,Active,FS,Eating & Drinking,05/01/2012 02:10:49 PM,+17812548888,"(42.35044, -71.06535)"
ABE & LOUIE'S,,Active,FS,Eating & Drinking,04/04/2011 03:19:34 PM,+16175364200,"(42.34924, -71.0816)"
Adams B & B,,Active,FS,Eating & Drinking,12/07/2006 01:35:30 PM,+16172672262,"(42.34606, -71.08786)"
AFC Sushi @ Shaw's #586,,Active,FT,Eating & Drinking w/ Take Out,03/06/2014 09:48:47 AM,+16172981462,"(42.271841, -71.069999)"
AFC Sushi @ Suffolk University,,Active,FS,Eating & Drinking,09/03/2009 01:33:14 PM,+16173649375,"(42.36, -71.06383)"
AFC Sushi @ Walgreens #15390,,Active,FT,Eating & Drinking w/ Take Out,04/24/2013 01:58:51 PM,+10000000000,"(42.357327, -71.058968)"
AFC SUSHI @SIMMONS COLLEGE,,Active,FS,Eating & Drinking,08/20/2010 10:13:45 AM,+16173649375,"(42.33931, -71.09996)"
AL CAPONE,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:52 PM,+10000000000,"(42.35402, -71.05813)"
AL DENTE RISTORANTE,,Active,FS,Eating & Drinking,12/07/2006 01:34:30 PM,+16175230990,"(42.36421, -71.05536)"
ALEX PIZZA,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:33 PM,+16178339626,"(42.342301, -71.067378)"
ALFREDO'S ITALIAN KITCHEN,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:02 PM,+16174581231,"(42.332855, -71.051318)"
ALI ROTI RESTAURANT,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:58 PM,+16172989850,"(42.33666, -71.08563)"
Alibi,,Active,FS,Eating & Drinking,12/14/2011 08:20:31 AM,+18572411144,"(42.36203, -71.070362)"
ALLIS ROTI + MEAT MARKET,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:12 PM,+16172989850,"(42.28377, -71.09129)"
Allston Diner,,Active,FS,Eating & Drinking,01/23/2012 09:21:55 AM,+16172088741,"(42.355123, -71.134062)"
Al's South St. Express,,Active,FT,Eating & Drinking w/ Take Out,12/13/2007 10:39:20 AM,+10000000000,"(42.352051, -71.057585)"
Al-Wadi Restaurant,,Active,FS,Eating & Drinking,07/28/2010 08:29:14 AM,+16173233236,"(42.27724, -71.17261)"
AMC Theatres Boston Common 19,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:25 PM,+18164805862,"(42.35315, -71.06403)"
Amelia's Taqueria,,Active,FT,Eating & Drinking w/ Take Out,04/04/2013 01:29:03 PM,+16177877672,"(42.353014, -71.133631)"
American Bakers,,Active,FT,Eating & Drinking w/ Take Out,02/14/2008 08:17:21 AM,+16179099937,"(42.37556, -71.053919)"
Americano Espresso Bar,,Active,FT,Eating & Drinking w/ Take Out,02/13/2007 08:24:51 AM,+16175938079,"(42.373853, -71.038885)"
Amici,,Active,FS,Eating & Drinking,11/01/2012 08:39:33 AM,+16177422998,"(42.365582, -71.058131)"
AMSTERDAM CAFE,,Active,FT,Eating & Drinking w/ Take Out,12/13/2012 08:26:59 AM,+16174646488,"(42.335274, -71.04559)"
AN TAIN,,Active,FS,Eating & Drinking,12/07/2006 01:35:04 PM,+17815368136,"(42.35823, -71.05315)"
ANDREW SQUARE HOUSE OF PIZZA,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:34 PM,+16172681940,"(42.33003, -71.05655)"
