Site,Name,Location,Area,Zip_code,Coordinates,Map_Location
UF1,The Food Project,850 Harrison Ave. ,Boston,2118,"42.3348925,-71.0751964","850 Harrison Ave.&nbsp;
Boston, MA 2118
(42.33517814576012, -71.07473087474541)"
UF2,The Food Project,40 West Cottage St.,Dorchester,2125,"42.3205544,-71.0746118","40 West Cottage St.
Dorchester, MA 2125
(42.32064932143021, -71.07455958351682)"
UF3,The Food Project,18 Albion St. ,Dorchester,2119,"42.253304,-71.114957","18 Albion St.&nbsp;
Dorchester, MA 2119
(42.32213320277856, -71.07118712590693)"
UF4,The Food Project,123 Langdon St.,Dorchester,2119,"42.3254032,-71.0697165","123 Langdon St.
Dorchester, MA 2119
(42.32537729090647, -71.06965171169566)"
UF5,City Growers,950 Blue Hill Ave.,Dorchester,2124,"42.2921582,-71.0888411","950 Blue Hill Ave.
Dorchester, MA 2124
(42.29189440573543, -71.0887162019496)"
UF6,City Growers,76 Lucerne St.,Dorchester,2124,"42.286918,-71.088234","76 Lucerne St.
Dorchester, MA 2124
(42.28696071821264, -71.08844511564922)"
UF7,City Growers,131 Glenway St.,Dorchester,2121,"42.298742,-71.081645","131 Glenway St.
Dorchester, MA 2121
(42.298804789338476, -71.08138543771923)"
UF8,ReVision House,38 Fabyan St.,Dorchester,2124,"42.289715,-71.091249","38 Fabyan St.
Dorchester, MA 2124
(42.28985653514695, -71.09106214275448)"
UF9,Pilot Urban Agriculture overlay district,23-29 Tucker St. ,Dorchester,2124,"42.289119,-71.079027","23-29 Tucker St.&nbsp;
Dorchester, MA 2124
(42.30786999970087, -71.06340000010977)"
UF10,Pilot Urban Agriculture overlay district,131 Glenway St.,Dorchester,2121,"42.298742,-71.081645","131 Glenway St.
Dorchester, MA 2121
(42.298804789338476, -71.08138543771923)"
UF11,Allandale Farms,259 Allandale Rd.,Jamaica Plain,2467,"42.3016834,-71.1392007","259 Allandale Rd.
Jamaica Plain, MA 2467
(42.30236456682541, -71.14054916195282)"
UF12,City Growers,33 Shirley St.,Roxbury,2119,"42.3236421,-71.0717869","33 Shirley St.
Roxbury, MA 2119
(42.323662050228336, -71.07187061064923)"
